drug_id,especie,semilla,n_semilla
113525,10,nula,0
113566,10,nula,0
113873,10,nula,0
114251,10,nula,0
114333,10,no informativa,2
114983,10,nula,0
116503,10,nula,0
116837,10,nula,0
117765,10,nula,0
118107,10,nula,0
118884,10,no informativa,5
119849,10,nula,0
122720,10,nula,0
123532,10,nula,0
125326,10,nula,0
125602,10,no informativa,8
126199,10,nula,0
126407,10,nula,0
126824,10,no informativa,3
127182,10,nula,0
128498,10,nula,0
129129,10,nula,0
130329,10,no informativa,8
130659,10,nula,0
130857,10,nula,0
131321,10,no informativa,12
133398,10,nula,0
133548,10,no informativa,2
133560,10,nula,0
133735,10,nula,0
136161,10,nula,0
136162,10,no informativa,7
136967,10,nula,0
137278,10,no informativa,2
137817,10,nula,0
138384,10,nula,0
138572,10,nula,0
139281,10,nula,0
139947,10,nula,0
140056,10,nula,0
144902,10,nula,0
145240,10,nula,0
145253,10,no informativa,3
146394,10,nula,0
147623,10,no informativa,3
149191,10,nula,0
149257,10,nula,0
151004,10,no informativa,3
151553,10,nula,0
151862,10,nula,0
153278,10,nula,0
153664,10,nula,0
153712,10,nula,0
153865,10,nula,0
154136,10,nula,0
154138,10,nula,0
154855,10,nula,0
155959,10,no informativa,21
157325,10,nula,0
157399,10,nula,0
157409,10,nula,0
157606,10,no informativa,8
157828,10,nula,0
157860,10,nula,0
160850,10,nula,0
161077,10,nula,0
161709,10,nula,0
163851,10,no informativa,2
164607,10,nula,0
164614,10,nula,0
164680,10,nula,0
165073,10,nula,0
166952,10,nula,0
168697,10,nula,0
169091,10,no informativa,2
172009,10,no informativa,2
173273,10,nula,0
174136,10,nula,0
175501,10,no informativa,4
175954,10,nula,0
176901,10,nula,0
177763,10,no informativa,7
178141,10,nula,0
180561,10,no informativa,4
180834,10,nula,0
180969,10,nula,0
180974,10,nula,0
180986,10,no informativa,30
183899,10,nula,0
185643,10,no informativa,3
186533,10,no informativa,3
186973,10,no informativa,19
187325,10,nula,0
187800,10,no informativa,3
190446,10,no informativa,26
190849,10,nula,0
192626,10,no informativa,2
194294,10,nula,0
194341,10,informativa,39
194394,10,nula,0
194746,10,nula,0
195577,10,nula,0
198097,10,nula,0
198815,10,nula,0
199222,10,no informativa,12
