posicion,n,frac_acumulada
8424,1,0.7376237623762376
8431,2,0.7384488448844885
8432,1,0.7388613861386139
8434,2,0.7396864686468647
8443,2,0.7405115511551155
8444,2,0.7413366336633663
8447,1,0.7417491749174917
8449,1,0.7421617161716172
8452,3,0.7433993399339934
8469,2,0.7442244224422442
8473,2,0.745049504950495
8477,1,0.7454620462046204
8485,1,0.7458745874587459
8491,1,0.7462871287128713
8500,1,0.7466996699669967
8506,1,0.7471122112211221
8513,1,0.7475247524752475
8518,1,0.7479372937293729
8519,1,0.7483498349834984
8541,1,0.7487623762376238
8559,2,0.7495874587458746
8569,1,0.75
8576,1,0.7504125412541254
8610,1,0.7508250825082509
8682,1,0.7512376237623762
8807,1,0.7516501650165016
8820,1,0.7520627062706271
8915,1,0.7524752475247525
8971,1,0.7528877887788779
9013,1,0.7533003300330033
9093,3,0.7545379537953796
9094,6,0.7570132013201321
9095,3,0.7582508250825083
9096,4,0.7599009900990099
9098,1,0.7603135313531353
9100,5,0.7623762376237624
9101,3,0.7636138613861386
9102,1,0.764026402640264
9103,1,0.7644389438943895
9104,2,0.7652640264026402
9105,4,0.766914191419142
9106,3,0.7681518151815182
9108,1,0.7685643564356436
9109,5,0.7706270627062707
9110,5,0.7726897689768977
9111,2,0.7735148514851485
9112,2,0.7743399339933993
9114,1,0.7747524752475248
9115,1,0.7751650165016502
9116,2,0.775990099009901
9117,2,0.7768151815181518
9118,3,0.778052805280528
9120,3,0.7792904290429042
9121,3,0.7805280528052805
9124,1,0.780940594059406
9125,3,0.7821782178217822
9127,2,0.783003300330033
9131,1,0.7834158415841584
9133,1,0.7838283828382838
9136,1,0.7842409240924092
9137,3,0.7854785478547854
9138,1,0.7858910891089109
9139,2,0.7867161716171617
9141,1,0.7871287128712872
9142,3,0.7883663366336634
9143,1,0.7887788778877888
9146,1,0.7891914191419142
9147,5,0.7912541254125413
9148,2,0.7920792079207921
9149,3,0.7933168316831684
9150,2,0.7941419141914191
9151,1,0.7945544554455446
9152,1,0.79496699669967
9153,4,0.7966171617161716
9154,2,0.7974422442244224
9155,3,0.7986798679867987
9156,2,0.7995049504950495
9157,1,0.7999174917491749
9158,4,0.8015676567656765
9159,2,0.8023927392739274
9160,5,0.8044554455445545
9162,2,0.8052805280528053
9163,3,0.8065181518151815
9164,2,0.8073432343234324
9165,1,0.8077557755775577
9166,2,0.8085808580858086
9167,1,0.808993399339934
9168,1,0.8094059405940595
9169,5,0.8114686468646864
9171,2,0.8122937293729373
9172,1,0.8127062706270627
9174,2,0.8135313531353136
9176,3,0.8147689768976898
9180,1,0.8151815181518152
9181,1,0.8155940594059405
9182,1,0.816006600660066
9183,1,0.8164191419141914
9185,1,0.8168316831683168
9187,1,0.8172442244224423
9188,1,0.8176567656765676
9193,1,0.818069306930693
9195,1,0.8184818481848185
