target_id,ann
359747,9881
344557,56081
261935,55684
249922,4873
177103,62634
330540,61036
299137,578
87029,35140
227331,74861
28632,22129
303834,48840
312506,25231
82288,49056
67065,66547
268763,59605
391542,52429
326574,42125
366805,12969
226842,19487
104401,48251
174876,12741
372163,40926
322289,56930
192578,65242
185252,42199
283031,68582
36583,62771
88027,33891
370391,59736
270222,22315
308278,792
328752,50460
367148,53699
142859,18773
198109,40877
254620,18668
394650,47267
273792,29745
149632,57410
378301,67946
269999,8419
339259,27873
128669,75931
238927,48949
103335,3388
41541,67252
319481,73445
222682,61332
116109,40756
61167,67445
120693,22990
203423,34844
310157,60916
155662,21144
253710,67696
100853,52387
271742,37668
367642,73925
268599,31788
337477,14065
136036,61752
160375,1427
257653,2670
26743,72701
78298,58789
88598,62478
346597,31832
220008,33120
137536,39671
355423,55359
202039,16136
399601,24123
184571,61421
312274,59228
248517,28766
244871,22204
353092,55630
303640,18511
301437,8419
78170,69016
96086,4869
290856,34690
108026,73881
266877,66564
58040,45210
187772,35678
70400,42578
116341,57704
90352,39639
269236,71876
398559,49540
317034,75536
207,26684
616,62478
90048,62478
173184,42158
261680,4776
155223,39520
98690,3514
321564,71566
62742,67445
251364,71632
396729,26535
88352,15154
312385,71286
319010,15523
363477,74281
301959,61442
258565,28547
314049,16271
63025,40848
326120,22580
185119,51428
392745,66955
389603,13122
25912,66152
237973,19107
27865,40926
223068,29402
245807,75433
26530,23947
57683,28333
285013,9233
198162,71855
154107,2580
134689,68324
47644,68165
332778,45698
17297,7614
131674,49303
280613,49056
194930,69677
276222,9051
302428,26225
208243,2213
302541,8040
168735,690
192811,72027
154527,41305
343676,5681
38494,33873
296151,969
173501,41994
63112,63839
103269,40031
218366,69191
198906,50995
