target_id,ann,type
33729,1290,5
33729,27373,5
33729,7926,7
33729,29658,1
33729,8787,5
33729,14528,5
60381,18338,5
60381,18664,5
60381,17204,1
359369,19407,5
108916,127,5
108916,30933,5
108916,32129,5
108916,9638,1
108916,35687,7
108916,15079,7
108916,19530,7
108916,26366,1
170786,28267,5
170786,12350,7
170786,32620,7
170786,22052,7
170786,17255,5
170786,31340,7
170786,16253,7
170786,23567,1
170786,31887,5
170786,10897,7
120149,35461,5
120149,21902,7
120149,33340,5
120149,11164,5
120149,17257,1
17655,21515,5
17655,2752,5
17655,28246,7
17655,21368,7
17655,27998,4
17655,28398,7
17655,12148,5
17655,11843,5
269699,14879,5
269699,35108,5
269699,36821,5
269699,23217,5
269699,12262,5
269699,6106,2
269699,25490,7
269699,31173,5
269699,545,7
269699,4795,4
269699,16557,7
269699,35424,7
269699,27900,1
12546,15082,1
12546,26108,5
12546,15253,5
12546,24137,5
12546,4357,5
12546,9780,5
185953,9446,5
185953,24582,5
185953,3087,7
185953,5526,7
185953,28177,5
185953,6868,1
350101,10446,1
94757,12495,5
94757,381,7
94757,28980,1
72799,13323,1
72799,21667,5
72799,4263,5
72799,10121,7
72799,25540,5
72799,14770,7
72799,28817,7
72799,28435,5
372484,8241,5
372484,26933,7
372484,1117,1
302142,32284,5
302142,36240,7
302142,30700,7
302142,30395,1
302142,24959,1
374717,12656,5
374717,13141,5
374717,31696,5
374717,21980,5
374717,35909,7
374717,35353,7
69387,25680,1
69387,22407,7
91288,4752,5
91288,22208,7
91288,15245,1
227320,13352,5
227320,10342,5
227320,5526,7
227320,24909,7
27769,2637,1
27769,34168,5
167914,29011,5
167914,35461,5
167914,29816,5
167914,25122,5
167914,6917,5
167914,17461,7
167914,16699,5
167914,876,7
167914,31318,1
167914,8552,5
257904,12656,5
257904,31696,5
257904,21980,5
257904,35909,7
257904,35353,7
159667,8769,5
159667,11504,7
159667,9478,1
394336,150,5
394336,35469,1
53962,2867,3
53962,35522,5
53962,35953,7
53962,3767,1
53962,24465,5
139179,35461,5
139179,23284,1
343222,22229,5
145607,22923,3
145607,14879,5
145607,6106,2
145607,2167,7
145607,25490,7
145607,4795,4
145607,4260,1
145607,17820,5
126449,290,1
305667,6436,5
305667,12311,7
305667,36125,7
305667,14618,1
11392,9088,1
11392,15783,1
11392,19607,5
11392,18789,5
11392,29866,7
11392,2918,7
289860,2867,3
289860,35522,5
289860,35953,7
289860,3767,1
289860,24465,5
9168,32431,1
94913,32136,5
94913,18428,6
94913,35461,5
94913,14909,5
94913,21902,7
94913,17002,1
94913,11808,0
94913,16678,5
94913,8355,5
94913,32705,1
330217,14879,5
330217,36344,5
330217,14109,5
330217,23203,2
330217,25490,7
330217,4795,4
330217,3598,5
330217,10327,7
330217,26060,1
155137,22695,5
155137,10329,1
155137,30489,7
309109,35230,3
309109,31371,7
309109,11504,7
157372,34233,1
157372,29442,7
157372,6218,7
157372,15437,1
242519,12129,1
242519,27014,0
242519,14769,7
242519,8539,1
161595,30604,5
