l,rho,lambda,lambda_suave
372,156.0,0.0,0.0655106592108492
373,156.0,0.0,0.0663128505034326
374,156.0,0.0,0.0670398597842059
375,156.0,0.0,0.0676831537478332
376,157.0,1.0,0.0682341990889786
377,157.0,0.0,0.068686408114727
378,157.0,0.0,0.0690409755818471
379,157.0,0.0,0.069301041859528
380,157.0,0.0,0.0694697473169592
381,157.0,0.0,0.0695502323233301
382,157.0,0.0,0.0695456372478301
383,157.0,0.0,0.0694591024596484
384,157.0,0.0,0.0692937683279745
385,157.0,0.0,0.0690527752219977
386,157.0,0.0,0.0687392635109075
387,157.0,0.0,0.0683563735638931
388,157.0,0.0,0.0679072457501439
389,157.0,0.0,0.0673950204388493
390,157.0,0.0,0.0668228379991987
391,157.0,0.0,0.0661938388003814
392,157.0,0.0,0.0655111632115869
393,157.0,0.0,0.0647779516020044
394,157.0,0.0,0.0639973443408234
395,157.0,0.0,0.0631724817972331
396,157.0,0.0,0.0623065043404231
397,157.0,0.0,0.0614025523395826
398,158.0,1.0,0.060463766163901
399,158.0,0.0,0.0594932861825676
400,158.0,0.0,0.058494252764772
401,158.0,0.0,0.0574698062797033
402,158.0,0.0,0.056423087096551
403,158.0,0.0,0.0553572355845045
404,158.0,0.0,0.0542753921127531
405,158.0,0.0,0.0531806970504861
406,158.0,0.0,0.0520762907668931
407,158.0,0.0,0.0509653136311632
408,158.0,0.0,0.049850906012486
409,158.0,0.0,0.0487362082800506
410,158.0,0.0,0.0476243608030466
411,158.0,0.0,0.0465185039506634
412,158.0,0.0,0.0454217780920901
413,158.0,0.0,0.0443373235965163
414,158.0,0.0,0.0432682808331313
415,158.0,0.0,0.0422177901711244
416,158.0,0.0,0.0411889919796851
417,158.0,0.0,0.0401850266280027
418,158.0,0.0,0.0392090344852665
419,158.0,0.0,0.038264155920666
420,158.0,0.0,0.0373535313033904
421,158.0,0.0,0.0364803010026293
422,158.0,0.0,0.0356476053875718
423,158.0,0.0,0.0348585848274075
424,158.0,0.0,0.0341163796913256
425,158.0,0.0,0.0334241303485156
426,158.0,0.0,0.0327849771681668
427,158.0,0.0,0.0322020605194685
428,158.0,0.0,0.0316785207716102
429,158.0,0.0,0.0312174982937812
430,158.0,0.0,0.0308221334551709
431,158.0,0.0,0.0304955666249687
432,158.0,0.0,0.0302409381723638
433,158.0,0.0,0.0300613884665457
434,158.0,0.0,0.0299600578767038
435,158.0,0.0,0.0299400867720273
436,158.0,0.0,0.0300046155217058
437,158.0,0.0,0.0301567844949285
438,158.0,0.0,0.0303997340608848
439,158.0,0.0,0.0307366045887641
440,158.0,0.0,0.0311692553245534
441,158.0,0.0,0.0316944210214304
442,158.0,0.0,0.0323075553093702
443,158.0,0.0,0.0330041118183481
444,159.0,1.0,0.0337795441783395
445,159.0,0.0,0.0346293060193196
446,159.0,0.0,0.0355488509712636
447,159.0,0.0,0.0365336326641468
448,159.0,0.0,0.0375791047279445
449,159.0,0.0,0.0386807207926319
450,159.0,0.0,0.0398339344881844
451,159.0,0.0,0.0410341994445771
452,159.0,0.0,0.0422769692917854
453,159.0,0.0,0.0435576976597845
454,159.0,0.0,0.0448718381785496
455,159.0,0.0,0.0462148444780561
456,159.0,0.0,0.0475821701882792
457,159.0,0.0,0.0489692689391942
458,160.0,1.0,0.0503715943607763
459,160.0,0.0,0.0517846000830008
460,160.0,0.0,0.0532037397358429
461,160.0,0.0,0.0546244669492781
462,160.0,0.0,0.0560422353532814
463,160.0,0.0,0.0574524985778281
464,160.0,0.0,0.0588507102528936
465,160.0,0.0,0.0602323240084531
466,160.0,0.0,0.0615927934744819
467,161.0,1.0,0.0629275722809552
468,161.0,0.0,0.0642321140578482
469,161.0,0.0,0.0655018724351364
470,161.0,0.0,0.0667323010427949
471,161.0,0.0,0.0679188535107989
472,161.0,0.0,0.0690569834691238
473,161.0,0.0,0.0701421445477449
474,161.0,0.0,0.0711697903766373
475,161.0,0.0,0.0721353745857764
476,161.0,0.0,0.0730343508051374
477,161.0,0.0,0.0738621726646956
478,161.0,0.0,0.0746142937944262
479,161.0,0.0,0.0752861678243046
480,162.0,1.0,0.0758732483843059
481,162.0,0.0,0.0763709891044055
482,162.0,0.0,0.0767748436145786
483,162.0,0.0,0.0770802655448005
484,162.0,0.0,0.0772827085250464
485,162.0,0.0,0.0773776261852917
486,162.0,0.0,0.0773604721555115
487,162.0,0.0,0.0772267000656811
488,162.0,0.0,0.0769717635457759
489,162.0,0.0,0.0765911162257711
490,162.0,0.0,0.0760802117356419
491,162.0,0.0,0.0754345037053636
492,162.0,0.0,0.0746494457649114
493,162.0,0.0,0.0737204915442608
494,162.0,0.0,0.0726430946733868
495,162.0,0.0,0.0714127087822648
496,162.0,0.0,0.07002478750087
